,CIRUGIA,EDAD,NUMERO HOSPITAL,TEMPERATURA RECTAL,PULSO,FRECUENCIA RESPIRATORIA,TEMPERATURA EXTREMIDADES,PULSO PERIFERICO,MEMBRANAS MUCUOSAS,TIEMPO LLENADO CAPILAR,DOLOR,PERISTALSIS,DISTENSION ABDOMINAL,VOLUMEN CELULAR ALTO,PROTEINA TOTAL,RESULTADO,LESION QUIRURGICA,CP_DATOS
,1,1,528183,"37,6",45,12,3,1,3,1,3,2,2,"39,00","7,00",1,1,1
,2,1,529183,"38,6",56,32,2,1,1,1,1,1,1,"40,00","7,00",1,2,1
,1,1,5279441,38,76,18,1,1,1,2,3,3,1,"71,00","11,00",1,1,1
,1,1,528800,"32,61",112,13,4,4,4,1,2,3,1,"60,00","6,30",1,1,1
,1,1,528178,"37,7",66,12,1,1,3,1,3,3,2,"31,50","6,20",1,1,1
,2,1,528931,"38,4",54,24,1,1,1,1,1,3,1,"49,00","7,20",1,2,1
,1,2,5289419,"32,61","59,15","24,18",1,1,1,1,3,3,1,"45,00","6,50",1,1,1
,1,1,530526,"38,3",72,30,4,3,3,2,3,3,3,"43,00","7,00",1,1,1
,1,1,529045,"38,2",52,16,1,1,2,1,1,2,1,"43,00","8,10",1,2,1
,1,1,5281091,"38,4",92,20,1,1,1,2,3,3,3,"39,61","25,27",1,1,1
,1,2,5291409,"38,2",124,88,1,3,2,1,2,3,4,"47,00","8,00",1,1,1
,2,1,530561,"32,61",112,24,3,3,4,2,5,4,2,"40,00","5,30",1,2,1
,2,1,529296,"38,4",48,16,2,1,1,1,1,3,2,"39,00","6,50",1,2,1
,1,1,530478,"38,3",44,21,3,1,2,1,3,3,3,"44,00","6,50",1,1,1
,2,1,529865,"38,6",68,20,2,1,3,1,3,3,2,"38,00","6,50",1,2,1
,2,1,527829,"38,3",54,18,3,1,2,1,2,3,2,"44,00","7,20",1,2,1
,2,1,529172,"38,2",56,40,4,3,1,1,2,4,3,"47,00","7,20",1,2,1
,2,1,530439,"38,5",54,"24,18",1,1,1,1,3,1,1,"40,00","6,80",1,2,1
,1,1,5283431,"38,5",66,24,1,1,1,1,3,3,1,"40,00","6,70",1,1,1
,1,1,529126,38,50,36,1,1,1,1,3,2,2,"39,00","6,60",1,1,1
,1,1,530612,"36,5",100,24,3,3,3,1,3,3,3,"50,00","6,00",1,1,1
,2,1,528355,"32,61","59,15","24,18",2,1,3,1,2,3,2,"39,61","25,27",1,2,2
,1,1,526802,"37,9",48,16,1,1,1,1,3,3,3,"37,00","7,00",1,1,2
,2,1,527927,"39,1",72,52,2,1,2,1,2,1,2,"50,00","7,80",1,1,2
,1,1,528031,"37,2",42,12,2,1,1,1,3,3,3,"39,61","7,00",1,2,2
,1,1,534917,"38,2",76,28,3,1,1,1,3,4,1,"46,00","81,00",1,1,2
,2,1,526639,"37,5",48,24,1,1,1,1,3,3,1,"39,61","25,27",1,2,2
,2,1,532110,"39,4",110,35,4,3,6,1,3,3,3,"55,00","8,70",1,2,2
,1,1,530157,"39,9",72,60,1,1,5,2,5,4,4,"46,00","6,10",1,1,2
,2,1,529340,"38,4",48,16,1,1,1,1,1,3,1,"49,00","6,80",1,2,2
,1,1,521681,"38,6",42,34,2,1,4,1,2,3,1,"48,00","7,20",1,1,2
,1,2,534998,"38,3",130,60,1,3,1,1,2,4,1,"50,00","70,00",1,1,2
,1,1,533692,"38,1",60,12,3,3,3,1,3,4,3,"51,00","65,00",1,1,2
,2,1,529518,"37,8",60,42,1,1,1,1,3,3,1,"39,61","25,27",1,2,2
,2,1,535415,"37,7",48,"24,18",2,1,1,1,1,1,1,"45,00","76,00",1,2,2
,1,1,529427,"37,2",60,"24,18",2,1,1,1,3,3,3,"43,00","6,60",1,1,2
,1,1,529796,"32,61",100,30,3,3,4,2,5,4,4,"52,00","6,60",1,1,2
,1,1,533847,"37,8",72,"24,18",1,3,1,1,5,3,1,"56,00","80,00",1,1,2
,2,1,530301,38,60,12,3,1,3,1,3,3,1,"47,00","7,00",1,2,2
,2,1,529821,"37,5",48,16,1,1,1,1,1,1,1,"37,00","6,50",1,2,2
,2,1,529483,"32,61","59,15","24,18",1,1,3,1,1,3,1,"43,00","7,70",1,2,2
,1,1,528872,"32,61","59,15","24,18",1,1,1,1,3,3,1,"24,00","6,70",1,1,2
,2,1,530438,"37,8",48,32,1,1,3,1,2,1,1,"37,00","6,70",1,2,2
,2,1,527957,"38,5",60,"24,18",2,2,1,1,1,2,2,"44,00","7,70",1,2,2
,1,1,534885,"32,61",60,36,3,1,3,1,3,3,2,"26,00","72,00",1,1,2
,2,1,534784,"37,9",72,"24,18",1,1,5,2,3,3,1,"58,00","74,00",1,1,2
,2,1,529777,"32,61",52,16,1,1,3,1,3,3,1,"55,00","7,20",1,2,2
,1,1,534615,"37,6",38,20,3,3,1,1,3,3,2,"37,00","68,00",1,1,2
,2,1,534753,"38,7",52,20,2,1,1,1,1,1,1,"33,00","77,00",1,2,2
,1,1,534756,"37,3",40,"24,18",1,3,1,1,2,3,2,"36,00","25,27",1,1,2
,1,2,5290759,"38,1",100,80,3,1,2,1,3,4,1,"36,00","5,70",1,1,2
,2,1,529304,38,54,30,2,3,3,3,3,1,2,"45,00","6,20",1,2,2
,2,1,535381,"38,3",42,10,1,1,1,1,1,1,1,"38,00","61,00",1,2,2
,2,1,534197,38,52,16,1,1,1,1,2,3,1,"53,00","86,00",1,1,2
,2,1,530251,"38,8",50,20,3,1,1,1,1,1,1,"42,00","6,20",1,2,2
,2,1,528729,"37,5",48,30,4,1,3,1,3,2,1,"48,00","8,60",1,2,2
,1,1,535158,"37,3",48,20,1,1,2,1,3,3,3,"41,00","69,00",1,1,2
,2,1,530319,"32,61",84,36,1,1,3,1,3,3,1,"44,00","8,50",1,1,2
,2,1,534135,"37,7",44,40,2,1,3,1,1,3,2,"41,00","60,00",1,2,2
,1,1,535364,"38,2",40,16,3,3,1,1,1,3,1,"34,00","66,00",1,2,2
,2,1,534938,"38,3",40,16,3,1,1,1,2,3,1,"37,00","57,00",1,2,2
,1,2,5292489,38,140,68,1,1,1,1,3,3,2,"39,00","5,30",1,1,2
,1,1,530381,"32,61",70,36,1,1,3,2,2,3,2,"36,00","7,30",1,1,2
,2,1,529764,"37,3",50,32,1,1,3,1,1,3,2,"44,00","7,00",1,2,2
,1,1,533736,"38,3",40,16,3,1,1,1,1,3,2,"38,00","58,00",1,1,2
,1,1,534963,"32,61",40,"24,18",2,1,1,1,1,3,1,"39,00","56,00",1,1,2
,1,1,532349,"38,4",44,24,3,1,4,1,5,4,3,"50,00","77,00",1,1,2
,2,1,533723,"32,61","59,15",40,3,1,1,1,3,3,2,"45,00","70,00",1,2,2
,1,1,535208,38,44,12,1,1,1,1,3,3,3,"42,00","65,00",1,1,2
,1,1,533983,"36,5",78,30,1,1,1,1,5,3,1,"34,00","75,00",1,1,2
,2,1,535166,"38,1",56,20,2,1,2,1,1,3,1,"46,00","70,00",1,2,2
,2,1,534579,"38,7",40,28,2,1,1,1,3,1,1,"39,00","62,00",1,2,2
,1,1,528461,38,42,68,4,1,1,1,3,3,2,"41,00","7,60",1,1,2
,1,1,530384,"38,7","59,15","24,18",3,1,3,1,5,4,2,"33,00","6,50",1,1,2
,1,1,527698,"38,4",49,"24,18",1,1,1,1,3,3,1,"44,00","7,60",1,1,2
,2,1,530294,"37,9",40,24,1,1,1,1,2,3,1,"40,00","5,70",1,1,2
,1,1,534324,38,48,"24,18",1,1,1,1,1,2,4,"39,61","25,27",1,1,2
,2,1,532349,38,56,"24,18",1,2,3,1,1,1,1,"42,00","71,00",1,2,2
,2,1,534491,38,60,32,1,1,1,1,3,3,1,"50,00","7,00",1,2,2
,1,1,529960,"38,1",44,9,3,1,1,1,2,2,1,"31,00","7,30",1,2,2
,2,1,535246,"32,61",80,32,3,3,2,1,2,3,3,"50,00","80,00",1,1,2
,1,1,534115,"38,2",48,"24,18",1,3,3,1,3,4,4,"42,00","71,00",1,1,2
,2,1,535314,"38,7",48,24,1,1,1,1,1,1,1,"34,00","63,00",1,2,2
,2,1,533793,"38,9",44,14,3,1,1,1,2,3,2,"33,00","64,00",1,2,2
,1,1,533836,"32,61",100,"24,18",3,3,4,2,3,4,4,"68,00","64,00",1,1,2
,2,1,535163,"38,8",48,40,1,1,3,1,3,3,4,"41,00","65,00",1,1,2
,2,1,528248,38,42,40,3,1,1,1,3,3,1,"39,61","25,27",1,2,2
,1,1,527916,"32,61","59,15","24,18",1,1,1,1,4,3,1,"35,00","58,00",1,1,2
,2,1,535176,"39,5",60,10,3,1,1,2,3,3,2,"38,00","56,00",1,2,2
,2,1,528299,"32,61",44,24,1,1,1,1,3,3,1,"39,61","6,30",1,2,2
,1,1,530254,"38,4",104,40,1,1,3,1,2,4,2,"55,00","8,50",1,1,2
,2,1,532985,"37,5",44,20,1,1,3,1,3,1,1,"35,00","7,20",1,2,2
,1,1,535292,"38,5",129,48,3,3,3,1,2,4,3,"57,00","66,00",1,1,2
,1,1,527929,"32,61","59,15","24,18",1,1,1,1,3,3,1,"39,61","25,27",1,1,2
,1,1,535130,"38,2",60,30,1,1,3,1,3,3,1,"48,00","66,00",1,1,2
,1,1,533968,"32,61",60,30,3,3,4,2,5,4,4,"45,00","70,00",1,1,2
,2,1,534857,"37,8",56,16,1,1,2,1,2,1,1,"44,00","68,00",1,2,2
,2,1,534053,"38,2",68,32,2,2,2,1,1,1,1,"43,00","65,00",1,2,2
,1,1,534833,"38,5",120,60,4,3,6,2,3,3,1,"54,00","25,27",1,1,2
,1,1,5278331,"39,3",64,90,2,3,1,1,3,3,1,"39,00","6,70",1,1,2
,1,1,533887,"38,5",60,"24,18",1,1,1,1,3,1,1,"33,00","53,00",1,1,2
,1,1,5299603,"38,3",60,16,3,1,1,1,2,1,1,"30,00","6,00",1,1,2
,2,2,5287279,"32,61",100,44,2,1,1,1,4,1,1,"37,00","4,70",1,2,2
,1,1,534788,"38,2",48,18,1,1,1,1,3,3,3,"48,00","74,00",1,1,2
,2,1,534163,"37,9",88,24,1,1,2,1,2,2,1,"37,00","56,00",1,2,2
,2,1,533697,38,44,12,3,1,1,1,3,1,2,"42,00","64,00",1,2,2
,2,1,533885,"38,3",60,20,1,1,1,2,1,3,1,"34,00","66,00",1,2,2
,2,1,534157,"38,5",60,40,3,1,2,1,2,1,2,"49,00","59,00",1,2,2
,2,1,529685,"37,2",36,9,1,1,1,1,2,3,1,"35,00","5,70",1,2,2
,1,1,535137,"38,5",96,30,2,3,4,2,4,4,3,"50,00","65,00",1,1,2
,2,1,534478,"37,5",44,10,3,1,1,1,3,1,2,"43,00","51,00",1,2,2
,1,2,5294369,"38,9",120,30,1,3,2,2,3,3,3,"47,00","6,30",1,2,2
,1,1,529135,"37,8",40,12,1,1,1,1,1,2,1,"38,00","7,00",1,1,2
,2,1,528977,"32,61","59,15","24,18",1,1,1,1,3,3,1,"39,61","25,27",1,2,2
,1,1,529736,"32,61",52,28,3,3,4,1,3,4,3,"37,00","8,10",1,1,2
,1,1,535031,"38,5",92,40,4,3,1,1,2,4,3,"46,00","67,00",1,1,2
,1,1,535392,"38,8",50,14,1,1,1,1,3,1,1,"38,00","58,00",1,1,2
,1,2,534597,"38,5",120,70,1,1,1,1,3,1,1,"35,00","54,00",1,1,2
,1,1,534280,"38,5",104,40,3,3,1,1,4,3,4,"39,61","25,27",1,1,2
,1,1,5262543,"38,5",30,18,1,1,1,1,3,3,1,"40,00","7,70",1,1,2
,2,1,528729,"37,5",48,30,4,1,3,1,3,2,1,"48,00","8,60",1,2,2
,2,1,528179,"38,2",42,26,1,1,1,1,3,1,2,"36,00","6,90",1,2,2
,2,1,533750,"37,9",54,42,2,1,5,1,3,1,1,"47,00","54,00",1,2,2
,1,1,530366,"37,6",68,32,3,1,3,1,4,2,4,"47,00","7,20",1,1,2
,1,1,527709,38,108,60,2,3,4,1,4,3,3,"39,61","25,27",1,1,2
,2,1,528169,"38,2",48,"24,18",2,1,1,2,3,3,1,"34,00","6,60",1,2,2
,1,1,533738,"32,61",80,"24,18",3,3,3,1,4,4,4,"43,00","70,00",1,1,2
,2,1,534719,"37,5",52,12,1,1,1,1,2,3,2,"36,00","61,00",1,2,2
,2,1,534933,38,40,25,1,1,1,1,4,3,2,"37,00","69,00",1,2,2
,2,2,5305629,"38,6",88,28,1,1,1,1,3,3,1,"35,00","5,90",1,2,2
,1,1,534403,"38,2",42,20,1,1,1,1,3,3,1,"47,00","60,00",1,2,2
,1,1,527883,"39,3",64,90,2,3,1,1,3,3,1,"39,00","6,70",1,1,2
,1,1,534626,"37,7",80,"24,18",3,3,6,1,5,4,1,"50,00","55,00",1,1,2
,1,1,529796,"32,61",100,30,3,3,4,2,5,4,4,"52,00","6,60",1,1,2
,2,1,528620,"36,9",50,40,2,3,3,1,1,3,2,"37,50","6,50",1,2,2
,2,1,528019,"37,8",40,16,1,1,1,1,1,1,1,"37,00","6,80",1,2,2
,1,1,534644,"38,6",48,12,1,1,1,1,1,1,1,"36,00","67,00",1,2,2
,1,1,527758,"38,2",72,18,1,1,1,1,3,3,1,"35,00","6,40",1,1,2
,2,2,5305129,"39,5",84,30,1,1,1,1,3,3,1,"28,00","5,00",1,2,2
,1,1,529428,"32,61","59,15","24,18",1,1,1,1,3,3,1,"39,61","25,27",1,1,2
,2,1,535054,"38,6",45,16,2,1,2,1,1,1,1,"43,00","58,00",1,2,2
,2,1,533902,"38,5",40,16,1,1,1,1,2,1,1,"37,00","67,00",1,2,2
,1,2,5290409,"39,1",164,84,4,1,6,2,2,4,4,"48,00","7,20",2,1,1
,2,2,5291329,38,92,28,1,1,2,1,1,3,2,"37,00","6,10",2,2,1
,1,2,5301219,"32,61",128,36,3,3,4,2,4,4,3,"53,00","7,80",2,2,1
,2,1,529642,"37,2",84,48,3,3,5,2,4,1,2,"73,00","5,50",2,2,1
,1,1,527706,"37,4",84,36,1,1,3,2,3,3,2,"39,61","25,27",2,1,1
,1,2,5282839,"38,6",160,20,3,1,5,1,3,3,4,"38,00","25,27",2,1,1
,1,1,528298,"32,61","59,15",20,4,3,3,1,5,4,3,"53,00","5,90",2,1,1
,1,1,528630,"37,8",88,22,2,1,2,1,3,3,1,"64,00","8,00",2,1,1
,1,1,528469,"38,1",52,24,1,1,5,1,4,3,1,"54,00","7,50",2,1,1
,1,1,527518,"36,4",98,35,3,3,4,1,4,3,2,"47,00","6,40",2,1,1
,1,1,529388,"32,61",88,40,3,3,4,2,5,4,3,"50,00","7,70",2,1,1
,2,1,529461,"40,3",114,36,3,3,1,2,2,3,3,"57,00","8,10",2,1,1
,1,2,5297379,"38,4",84,40,3,3,2,1,3,3,3,"36,00","6,60",2,1,1
,1,1,527933,"36,8",60,28,1,1,1,1,3,3,1,"39,61","25,27",2,1,1
,1,1,530360,"38,2",64,24,1,1,3,1,4,4,3,"45,00","7,50",2,1,1
,1,2,5287179,"38,1",136,48,3,3,3,1,5,1,3,"33,00","4,90",2,1,1
,1,1,530402,"32,61",120,"24,18",4,3,6,2,5,4,4,"57,00","4,50",2,1,1
,1,1,529399,"39,3","59,15","24,18",4,3,6,2,4,4,2,"75,00","25,27",2,1,1
,2,1,527677,39,86,16,3,3,5,1,3,3,3,"68,00","5,80",2,1,1
,1,1,529729,"32,61",104,"24,18",3,3,5,2,2,4,3,"69,00","8,60",2,1,1
,2,1,518476,"32,61","59,15","24,18",3,4,6,1,4,3,4,"39,61","25,27",2,1,1
,1,1,523190,"32,61",68,14,1,1,4,1,4,3,1,"39,61","25,27",2,1,1
,2,1,521399,"38,5",96,36,3,3,1,2,2,4,2,"70,00","8,50",2,1,1
,1,1,528641,"38,5",86,"24,18",1,1,3,1,4,4,3,"45,00","7,40",2,1,1
,1,1,530401,"37,9",68,20,1,1,2,1,2,4,2,"45,00","4,00",2,1,1
,1,1,529893,38,86,24,4,3,4,1,2,4,4,"45,00","5,50",2,1,1
,1,1,528469,"38,1",52,24,1,1,5,1,4,3,1,"54,00","7,50",2,1,1
,1,2,5291719,"38,8",124,36,3,1,2,1,2,3,4,"50,00","7,60",2,1,1
,1,1,529812,"38,7",96,28,3,3,4,1,3,4,1,"64,00","9,00",2,1,1
,1,1,527734,"40,8",72,42,3,3,1,1,2,3,1,"54,00","7,40",2,1,1
,1,1,528743,"37,1",75,36,1,1,3,2,4,4,2,"48,00","7,40",2,1,1
,1,1,528638,"37,7",120,28,3,3,3,1,5,3,3,"65,00","7,00",2,1,1
,2,1,530624,40,78,"24,18",3,3,5,1,2,3,1,"66,00","6,50",2,1,1
,2,1,530101,"38,5",66,28,3,3,1,2,5,4,4,"45,00","8,40",2,2,2
,2,1,530255,"37,3",104,35,1,1,6,2,3,3,1,"74,00","7,40",2,2,2
,1,1,529607,"32,61",60,"24,18",3,1,1,1,3,4,2,"44,00","8,30",2,1,2
,1,1,530233,"37,6",96,48,3,1,4,1,5,3,3,"45,00","6,80",2,1,2
,1,1,5279442,"32,61","59,15","24,18",1,1,1,1,3,3,1,"39,61","25,27",2,2,2
,2,1,529475,"37,7",96,30,3,3,4,2,5,4,4,"66,00","7,50",2,1,2
,1,2,5277409,"39,2",146,96,1,1,1,1,3,3,1,"39,61","25,27",2,1,2
,1,1,529498,"32,61",88,"24,18",3,3,6,2,5,3,3,"63,00","6,50",2,1,2
,2,1,529827,"32,61",120,"24,18",4,3,4,2,5,4,4,"60,00","6,50",2,1,2
,1,1,528890,"38,9",80,44,3,3,3,2,2,3,3,"54,00","6,50",2,1,2
,1,1,529640,"32,61",64,36,2,1,2,1,5,3,3,"42,00","7,70",2,1,2
,2,1,528904,"32,61",96,"24,18",3,3,3,2,5,4,4,"60,00","25,27",2,1,2
,1,1,5299253,"37,7",56,"24,18",1,1,1,1,3,3,1,"39,61","25,27",2,1,2
,1,2,5292929,"32,61","59,15","24,18",1,1,1,1,3,3,1,"37,00","4,90",2,1,2
,1,1,530693,"32,61","59,15","24,18",3,3,3,3,5,3,3,"46,00","5,90",2,1,2
,1,1,5279822,38,"59,15",24,3,3,6,2,5,3,4,"68,00","7,80",2,1,2
,2,1,530310,"32,61","59,15","24,18",3,3,1,1,5,3,3,"38,00","6,50",2,1,2
,1,1,527563,"37,8",52,24,1,3,3,1,4,4,1,"48,00","6,60",2,1,2
,1,1,527544,"32,61",70,16,3,4,5,2,2,3,2,"60,00","7,50",2,1,2
,1,1,528964,"37,8",30,12,1,1,1,1,3,3,1,"39,61","25,27",2,1,2
,2,1,530670,"37,6",88,36,3,1,1,1,3,3,2,"44,00","6,00",2,1,2
,1,1,527524,"32,61",100,"24,18",3,1,4,2,5,4,1,"59,00","6,30",2,1,2
,1,1,530693,"32,61","59,15","24,18",3,3,3,2,5,3,3,"46,00","5,90",2,1,2
,2,1,522979,36,42,30,1,1,5,1,3,3,1,"64,00","6,80",2,2,2
,2,1,530001,38,44,12,2,1,3,1,3,4,3,"33,00","6,50",2,1,2
,1,1,530431,"38,3",42,24,1,1,1,1,3,3,1,"40,00","8,50",2,1,2
,1,1,530239,"38,4",84,30,3,1,5,2,4,3,3,"47,00","7,50",2,1,2
,1,1,5279822,38,"59,15",24,3,3,6,2,5,3,4,"68,00","7,80",2,1,2
,1,1,529373,"32,61",60,48,3,3,4,2,4,3,4,"58,00","7,60",2,1,2
,1,1,530297,"32,61","59,15","24,18",1,1,1,1,3,3,1,"45,00","8,70",2,1,2
,1,1,528503,"39,2",120,20,4,3,5,2,2,3,3,"60,00","8,80",2,1,2
,2,1,530028,"39,5",92,28,3,3,6,1,5,4,1,"72,00","6,40",2,2,2
,1,1,529160,38,90,30,4,3,4,2,5,4,4,"55,00","6,10",2,1,2
,1,1,530354,"32,61",36,32,1,1,4,1,5,3,3,"41,00","5,90",2,1,2
,2,1,528904,"32,61",96,"24,18",3,3,3,2,5,4,4,"60,00","25,27",2,1,2
,1,1,530170,"38,1",88,24,3,3,4,1,5,4,3,"41,00","4,60",2,1,2
,2,1,527940,"36,6",42,18,3,3,2,1,1,4,1,"52,00","7,10",2,1,2
,1,2,5294539,"38,8",184,84,1,1,1,1,4,1,3,"33,00","3,30",2,1,2
,1,1,528570,"37,5",60,50,3,3,1,1,3,3,2,"35,00","6,50",2,1,2
,1,2,5297159,"38,8",150,50,1,3,6,2,5,3,2,"50,00","6,20",2,1,2
,1,1,527544,"32,61",70,16,3,4,5,2,2,3,2,"60,00","7,50",2,1,2
,1,1,528890,"38,9",80,44,3,3,3,1,2,3,3,"54,00","6,50",2,1,2
,1,1,530034,37,66,20,1,3,2,1,4,3,3,"35,00","6,90",2,1,2
,1,1,529386,"37,5",72,30,4,3,4,1,4,4,3,"60,00","6,80",2,1,2
,2,1,530242,"37,2",108,12,3,3,4,2,2,4,2,"52,00","8,20",3,1,1
,2,1,529493,"38,3",112,16,1,3,5,2,3,3,1,"51,00","6,00",3,2,1
,2,1,529461,"40,3",114,36,3,3,1,2,2,3,3,"57,00","8,10",3,1,1
,2,1,528214,37,60,20,3,1,1,1,3,3,3,"43,00","7,60",3,1,1
,2,1,528006,"32,61",40,16,1,1,1,1,3,3,1,"50,00","7,00",3,1,1
,2,1,528151,"38,5",100,"24,18",3,3,5,2,4,3,4,"39,61","25,27",3,2,1
,2,1,529628,"38,5",60,20,1,1,5,2,2,2,1,"63,00","7,50",3,2,1
,2,1,528702,"36,1",88,"24,18",3,3,3,1,3,3,2,"45,00","7,00",3,1,1
,2,1,527702,"37,2",72,24,3,2,4,2,4,3,3,"44,00","25,27",3,1,1
,1,1,534817,"39,2",88,20,1,1,4,1,3,4,2,"50,00","85,00",3,2,2
,2,1,530051,"32,61",80,36,3,4,3,1,4,4,4,"38,00","6,20",3,1,2
,2,1,528812,"32,61",104,24,4,3,3,2,4,4,3,"73,00","8,40",3,1,2
,1,1,534069,"32,61",120,"24,18",3,4,4,1,4,4,4,"52,00","67,00",3,1,2
,1,1,535407,"35,4",140,24,3,3,4,2,4,4,1,"57,00","69,00",3,1,2
,2,1,534293,"38,2",130,16,4,3,4,2,2,4,4,"65,00","82,00",3,2,2
,1,2,534092,"39,7",100,"24,18",3,3,5,2,2,3,1,"48,00","57,00",3,1,2
,1,1,534145,"38,1",88,32,3,3,4,1,2,3,3,"55,00","60,00",3,2,2
,1,1,534899,"32,61",60,20,4,3,4,2,5,4,1,"39,61","25,27",3,1,2
,1,1,533696,"38,7",60,32,4,3,2,2,4,4,4,"53,00","64,00",3,1,2
,2,1,5290482,"39,5","59,15","24,18",3,3,4,2,3,4,3,"39,61","6,70",3,1,2
,1,1,534556,"38,3",80,40,1,1,6,2,4,3,1,"67,00","10,20",3,1,2
,2,1,529840,"37,6",48,20,3,1,4,1,1,1,3,"37,00","5,50",3,1,2
,1,1,535330,"37,4",84,20,1,1,3,1,2,3,3,"31,00","61,00",3,2,2
,1,1,534519,"37,1",84,40,3,3,6,1,2,4,4,"75,00","81,00",3,2,2
,1,1,533928,"37,8",60,24,1,1,3,2,3,4,4,"52,00","75,00",3,1,2
,1,1,533942,38,66,20,1,3,3,1,5,3,1,"46,00","46,00",3,1,2
,1,1,534925,"39,4",120,48,1,1,5,1,3,3,3,"56,00","64,00",3,2,2
,1,1,535085,"32,61",65,24,1,1,1,2,5,3,4,"39,61","25,27",3,1,2
,1,1,534073,"37,5",48,40,1,1,1,1,3,3,1,"41,00","55,00",3,1,2
,2,1,528151,"38,5",100,"24,18",3,3,5,2,4,3,4,"39,61","25,27",3,2,2
,1,1,535338,"37,8",88,80,3,3,5,2,3,3,3,"64,00","89,00",3,1,2
,1,1,535240,"38,1",40,36,1,2,2,1,2,2,1,"39,61","25,27",3,1,2
,1,1,535029,"39,2",88,58,4,4,1,2,5,4,1,"39,61","25,27",3,2,2
,1,1,535196,"37,3",90,40,3,1,6,2,5,4,3,"65,00","50,00",3,1,2
,1,1,534183,"38,1",70,22,1,1,1,1,5,3,1,"36,00","65,00",3,1,2
,1,1,535043,"39,3",100,51,4,4,6,1,2,4,1,"66,00","13,00",3,1,2
